1342,"['unit4/rgb1/frame_14-28-53.642166.jpg', 'unit4/rgb1/frame_14-28-53.725501.jpg', 'unit4/rgb1/frame_14-28-53.825503.jpg', 'unit4/rgb1/frame_14-28-53.908838.jpg', 'unit4/rgb1/frame_14-28-53.992173.jpg']",134,"[0.8648437499999999, 0.5097222222222222]","[0.8658854166666667, 0.5092592592592593]","[0.86640625, 0.5087962962962963]","[0.8674479166666667, 0.5092592592592593]","[0.86796875, 0.5087962962962963]"
1135,"['unit4/rgb1/frame_14-25-03.004220.jpg', 'unit4/rgb1/frame_14-25-03.087555.jpg', 'unit4/rgb1/frame_14-25-03.187557.jpg', 'unit4/rgb1/frame_14-25-03.270892.jpg', 'unit4/rgb1/frame_14-25-03.370894.jpg']",144,"[0.8226562500000001, 0.5027777777777778]","[0.8231770833333334, 0.5032407407407408]","[0.8101562499999999, 0.5337962962962963]","[0.81328125, 0.5314814814814814]","[0.8169270833333333, 0.5300925925925926]"
9,"['unit4/rgb1/frame_14-04-06.362287.jpg', 'unit4/rgb1/frame_14-04-06.462289.jpg', 'unit4/rgb1/frame_14-04-06.545624.jpg', 'unit4/rgb1/frame_14-04-06.628959.jpg', 'unit4/rgb1/frame_14-04-06.728961.jpg']",145,"[0.5950520833333334, 0.6]","[0.61640625, 0.5935185185185186]","[0.6330729166666667, 0.5874999999999999]","[0.6481770833333333, 0.5828703703703704]","[0.66484375, 0.5777777777777777]"
1879,"['unit4/rgb1/frame_14-38-23.003640.jpg', 'unit4/rgb1/frame_14-38-23.086975.jpg', 'unit4/rgb1/frame_14-38-23.186977.jpg', 'unit4/rgb1/frame_14-38-23.270312.jpg', 'unit4/rgb1/frame_14-38-23.370314.jpg']",140,"[0.8549479166666667, 0.5111111111111111]","[0.8565104166666666, 0.513425925925926]","[0.8575520833333333, 0.5138888888888888]","[0.85859375, 0.5138888888888888]","[0.8596354166666667, 0.513425925925926]"
2081,"['unit4/rgb1/frame_14-41-02.456829.jpg', 'unit4/rgb1/frame_14-41-02.540164.jpg', 'unit4/rgb1/frame_14-41-02.640166.jpg', 'unit4/rgb1/frame_14-41-02.723501.jpg', 'unit4/rgb1/frame_14-41-02.823503.jpg']",142,"[0.83671875, 0.5185185185185185]","[0.8393229166666667, 0.5185185185185185]","[0.8414062499999999, 0.5175925925925926]","[0.8424479166666667, 0.5171296296296296]","[0.8450520833333334, 0.5157407407407408]"
1370,"['unit4/rgb1/frame_14-29-41.459789.jpg', 'unit4/rgb1/frame_14-29-41.543124.jpg', 'unit4/rgb1/frame_14-29-41.643126.jpg', 'unit4/rgb1/frame_14-29-41.726461.jpg', 'unit4/rgb1/frame_14-29-41.826463.jpg']",141,"[0.8580729166666666, 0.49722222222222223]","[0.8580729166666666, 0.49722222222222223]","[0.8580729166666667, 0.4976851851851851]","[0.8580729166666667, 0.4981481481481481]","[0.8580729166666667, 0.4986111111111111]"
319,"['unit4/rgb1/frame_14-13-46.540624.jpg', 'unit4/rgb1/frame_14-13-46.640626.jpg', 'unit4/rgb1/frame_14-13-46.723961.jpg', 'unit4/rgb1/frame_14-13-46.823963.jpg', 'unit4/rgb1/frame_14-13-46.907298.jpg']",146,"[0.6841145833333333, 0.5175925925925926]","[0.6752604166666667, 0.5185185185185186]","[0.6674479166666667, 0.5189814814814815]","[0.6575520833333333, 0.5199074074074074]","[0.6481770833333333, 0.5203703703703704]"
388,"['unit4/rgb1/frame_14-14-16.174550.jpg', 'unit4/rgb1/frame_14-14-16.274552.jpg', 'unit4/rgb1/frame_14-14-16.357887.jpg', 'unit4/rgb1/frame_14-14-16.457889.jpg', 'unit4/rgb1/frame_14-14-16.541224.jpg']",132,"[0.87109375, 0.5069444444444444]","[0.8723958333333333, 0.5069444444444444]","[0.8721354166666666, 0.5069444444444444]","[0.87265625, 0.5074074074074074]","[0.87265625, 0.5069444444444444]"
859,"['unit4/rgb1/frame_14-21-50.550371.jpg', 'unit4/rgb1/frame_14-21-50.633706.jpg', 'unit4/rgb1/frame_14-21-50.733708.jpg', 'unit4/rgb1/frame_14-21-50.817043.jpg', 'unit4/rgb1/frame_14-21-50.917045.jpg']",146,"[0.6893229166666667, 0.5166666666666666]","[0.68359375, 0.5171296296296296]","[0.6763020833333333, 0.5180555555555555]","[0.6703125000000001, 0.5189814814814815]","[0.6619791666666667, 0.5194444444444445]"
1278,"['unit4/rgb1/frame_14-27-14.640186.jpg', 'unit4/rgb1/frame_14-27-14.723521.jpg', 'unit4/rgb1/frame_14-27-14.823523.jpg', 'unit4/rgb1/frame_14-27-14.906858.jpg', 'unit4/rgb1/frame_14-27-15.006860.jpg']",145,"[0.75859375, 0.5106481481481482]","[0.7549479166666667, 0.5111111111111111]","[0.75078125, 0.5120370370370371]","[0.7471354166666666, 0.5120370370370371]","[0.74140625, 0.5125]"
